Title,Link
‘Diplomat’ Of Nowhere: How One Man Turned A Ghaziabad Bungalow Into A Fake Embassy,https://www.news18.com/india/diplomat-of-nowhere-how-one-man-turned-a-ghaziabad-bungalow-into-a-fake-embassy-ws-l-9458443.html
"IndiGo Flight From Ahmedabad Catches Fire Before Takeoff, Pilot Sends 'Mayday' Call To ATC",https://www.news18.com/india/indigo-flight-from-ahmedabad-engine-catches-fire-just-before-takeoff-aborted-diu-probe-9458547.html
"India Vs England Live Score Updates, 4th Test Day 1: IND 78/0 At Lunch, KL Rahul Batting On 40",https://www.news18.com/cricket/ind-vs-eng-live-score-india-vs-england-4th-test-match-day-1-cricket-scorecard-manchester-latest-news-liveblog-9457725.html
"Tanushree Dutta Makes SHOCKING Allegations, Claims 'Bollywood Mafia Threat Like Sushant Singh Rajput'",https://www.news18.com/movies/bollywood/tanushree-dutta-makes-shocking-allegations-claims-bollywood-mafia-threat-like-sushant-singh-rajput-ws-l-9458456.html
"'Positive Move': India Set To Resume Tourist Visas For Chinese Citizens, Beijing Reacts",https://www.news18.com/india/india-to-resume-issuing-tourist-visas-to-chinese-nationals-9457792.html
"Parliament Set To Discuss Operation Sindoor Next Week, PM Modi Likely To Intervene",https://www.news18.com/india/operation-sindoor-debate-scheduled-in-rajya-sabha-for-july-29-16-hours-allocated-9458141.html
Who Is Anshul Kamboj? All You Need To Know About India's 318th Test Cricketer,https://www.news18.com/cricket/who-is-anshul-kamboj-all-you-need-to-know-about-indias-318th-test-cricketer-ws-l-9458351.html
"How Harshvardhan Jain, ‘Ambassador Of Westarctica’, Became The Ultimate Con Star Of Ghaziabad",https://www.news18.com/india/ghaziabad-fake-embassy-of-westarctica-busted-harshvardhan-jain-was-operating-it-from-kavi-nagar-ws-kl-9458774.html
UK Woman Dies After Being Licked By Granddaughter's Dog: Here's What Happened,https://www.news18.com/world/uk-woman-dies-after-being-licked-by-granddaughters-dog-heres-what-happened-ws-l-9458813.html
"Boney Kapoor Loses 26 Kgs, Undergoes Drastic Physical Transformation; Pics Viral",https://www.news18.com/movies/bollywood/boney-kapoor-loses-26-kgs-undergoes-drastic-physical-transformation-pics-viral-9456998.html
"7-Month-Old Girl ‘Offered For Sex’ By Mother For Rs 35,000. Snapchat Flags ‘Pay Half Now...’ Deal",https://www.news18.com/viral/rs-35000-seven-month-old-girl-offered-for-sex-by-mother-snapchat-flags-deal-9458411.html
